German,English
fertig,finished
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,Thing
hilfe,Help
verdammt,Damn it
ne,ne
jeder,everyone
warst,beings
gern,gladly
konnte,could
daruber,about that
halten,keep
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,to it
ihrem,hers
denken,think
konnten,could
dank,thanks to
wurden,became
lieber,rather
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,make
komme,come
sage,legend
mag,like
sieh,see
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,clock
stadt,city
manner,Men
baby,infant
fahren,drive
namen,names
bekommen,to get
kopf,head
hi,Hi
gehe,go
kleine,small
spater,later
gluck,luck
letzte,last
freunde,friends
n,n
all,Alles
darauf,thereon
ende,end
dr.,Dr.
bald,soon
toten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tur,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,die
hatten,had
drauen,drauen
kenne,know
fast,nearly
runter,down
vorbei,over
treffen,meeting
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verruckt,crazy
neue,new
ging,went
hinter,Behind
sorgen,worries
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,entire
spat,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,Looking for
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hort,hoard
verstehen,to understand
spielen,to play
s.,s.
uberhaupt,at all
teufel,devil
verstanden,Roger that
verloren,lost
groe,big
hand,hand
grund,ground
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,sweetheart
endlich,at last
he,hey
nimm,take
etwa,about
erzahlt,told
lauft,runs
schwer,difficult
anders,different
miss,miss
musste,had to
funf,five
wasser,water
lasst,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,Which
bestimmt,definitely
hoch,high
alter,Age
sagst,say
schau,look
ah,ah
land,country
zimmer,room
wagen,dare
vier,four
gefallen,favor
spa,spa
niemals,No way
schuld,fault
getotet,teded
wollten,wanted to
verlassen,leaving
zeigen,demonstrate
beste,best
ernst,serious
unserer,ours
denen,whom
ort,location
bleibt,remains
wurdest,navigation
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,in between
eben,even
wahrend,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,friend
krieg,war
gefallt,pleases
kleinen,small
erzahlen,tell
anderes,other
tage,days
entschuldigen,to apologize
wichtig,important
gehst,walking
allen,all
bett,bed
mrs.,Mrs.
sachen,stuff
the,the
schlecht,bad
schule,school
entschuldigung,Sorry
wort,word
john,John
hattest,hate
waren,were
typ,Type
schlafen,sleep
ah,ah
tu,TU
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
blo,blo
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,tust
trinken,drink
einige,some
dies,this
ding,thing
unseren,ours
kriegen,get
blut,blood
ehrlich,honest
eltern,parents
scheint,seems
herz,heart
jack,Jack
glucklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunite
frei,free
wen,whom
drauf,on it
moglich,possible
irgendwie,somehow
reicht,enough
fest,Celebration
besten,best
waffe,weapon
kaum,hardly
irgendwas,anything
klingt,sounds
platz,space
brauchst,needs
rede,speech
papa,father
falsch,not correct
sondern,but
alten,old
nummer,number
fruher,previously
jungen,boys
wohin,where
auer,Auer
fruh,early
setzen,put
zuerst,first
wahrscheinlich,probably
durfen,allowed to
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
groen,big
retten,rescue
hierher,here
war,was
bring,bring
fehler,mistake
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nachste,next
stunde,hour
hande,hands
gegeben,given
menge,amount
langsam,slow
bereits,already
wartet,waiting
sechs,six
lieben,love
meines,mine
buro,office
nachsten,back
gebe,gift
wochen,weeks
ruf,call
schaffen,create
leider,unfortunately
schei,shit
holle,hell
trotzdem,Nevertheless
doktor,doctor
tja,well
new,new
voll,full
film,Movie
uberall,all over
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
konig,king
danach,thereafter
funktioniert,is working
hattest,hate
lernen,to learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,recall
vollig,fully
kleines,small
konnt,can
stelle,Job
kumpel,Dude
verlieren,to lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,Excuse me
ziehen,draw
verschwinden,disappear
konntest,can
seht,look
aufhoren,stop
eigenen,own
richtige,right one
unserem,ours
suche,seek
zwar,that is
gro,big
hol,brow
buch,a book
krank,Sick
fuhle,foal
jedes,every
verstehst,understand
wert,value
arzt,doctor
froh,joyful
versuche,tries
strae,street
rufen,call
heiraten,marry
super,great
sam,sam
lebt,lives
gutes,good
lasse,let
onkel,uncle
total,total
gebracht,brought
party,party
erklaren,to explain
spielt,plays
wahl,choice
vertrauen,trust
damals,back then
tagen,days
leicht,easy
nachdem,after this
gegangen,gone
gefuhl,feeling
kaufen,to buy
geschafft,made
typen,guy
interessiert,Interested
mochten,want
halte,hold
halt,stop
glaub,belief
irgendwo,somewhere
stuck,piece
genauso,just like that
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
druben,over there
passt,fits
sagten,said
kummern,To take care of
laut,noisy
vergiss,forgetful
angerufen,called
sitzen,sit
da,there
erde,earth
groer,big
schlussel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefangnis,jail
opfer,victim
korper,body
solche,such
mist,damn
mr,MR
findet,find
schreiben,write
bose,angry
gesprochen,spoken
versuch,experiment
vorstellen,introduce
wovon,About what
sobald,as soon as
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,flat
weh,sore
heien,hot
krankenhaus,hospital
bringe,bring
hore,hore
millionen,millions
klasse,class
hart,hard
worden,gone
sinn,sense
auerdem,from
verletzt,hurt
andern,change
erfahren,Experienced
tragen,wear
wenigstens,at least
vorsichtig,careful
daddy,daddy
stolz,proud
stark,strong
fallt,fall
mochtest,wick test
leuten,people
besonders,especially
schone,lovely
schicken,send
person,person
schatze,treasure
solange,so long
langer,longer
groartig,gro -like
lacht,laughs
anrufen,call up
stand,was standing
redest,speech
fuhlen,feel
erwartet,expected
boden,ground
boss,boss
stimme,voice
glaubt,believe
still,quiet
sicherheit,safety
setz,setting
ma,MA
mund,mouth
kampfen,battle
wisst,know
lachen,laugh
horst,horst
zeug,things
lustig,fun
umbringen,kill
sollst,thorough
hasse,hate
schlimm,terrible
o,O
unglaublich,unbelievable
warst,beings
laden,load
fuhren,to lead
gestorben,died
schauen,watch
meinung,opinion
lesen,read
morder,murderer
frank,frank
ahm,ahm
geschehen,happen
geschaft,shop
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,Mike
aufs,onto
york,York
vorher,before
schluss,Enough
schneller,more quickly
liebt,loved
verdient,earned
mogen,to like
meisten,most
denk,think
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile
hinten,rear
monate,months
erinnere,remind
acht,eight
arbeitet,is working
fallen,fall
rufe,calls
notig,necessary
a,A
mord,murder
heraus,out of here
tages,day
unmoglich,impossible
liebling,Darling
charlie,Charlie
tatsachlich,indeed
folgen,follow
bitten,request
behalten,to keep
nahe,vicinity
arbeite,work
joe,Joe
verdammte,damn
plotzlich,suddenly
lebens,life
hole,hole
tisch,table
michael,Michael
horte,heard
jemals,ever
liegen,lie
verkaufen,to sell
gefahrlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,Ha
hotel,hotel
hilft,helps
werdet,become
meister,master
kampf,struggle
antwort,reply
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,funny
gewinnen,to win
ihres,hers
bezahlt,paid
you,you
voller,full of
unterwegs,on road
dumm,stupid
arger,trouble
bild,image
george,George
neu,New
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,Tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,to catch
fort,on
standig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,werry
ziel,target
benutzt,used
bewegung,Move
jemandem,someone
wunschte,wish
worte,words
kamen,came
welcher,which one
zahlen,to count
anfang,beginning
legen,lay
erinnerst,remembered
anwalt,attorney
fahr,driving
sitzt,sitting
hilf,help
offen,open
schonen,protect
monsieur,Monsieur
musste,had to
arme,poor
bier,beer
furs,thumb
partner,partner
klein,small
david,David
klappe,flap
su,SU
herum,hereabouts
finger,finger
ehe,marriage
rolle,role
lie,lie
gleiche,same
monat,month
hochzeit,marriage
max,Max
fuhrt,leads
paris,Paris
wach,awake
wozu,for what reason
arm,poor
geschrieben,written
chef,boss
benutzen,to use
informationen,information
erledigt,done
hoffentlich,hopefully
musst,must
fuhlt,feels
tanzen,dance
ansehen,look at
darfst,may
zuhause,at home
wunderbar,Marvelous
haltst,hold
reise,travel
gewonnen,won
dame,lady
irgendwann,Sometime
chffffff,CHFFFFFF
alex,Alex
steckt,plugged
jedenfalls,in any case
schreit,cries
tolle,amazing
ruber,over
tschuss,bye Bye
nennt,names
raum,space
hei,hot
foto,photo
kalt,cold
paul,Paul
irgendetwas,anything
weile,while
bisher,so far
minute,minute
unbedingt,Absolutely
zug,train
sekunden,seconds
wofur,for what
erzahl,earnings
nen,nen
beweise,proofs
nahm,took
aller,all
freut,is happy
seele,soul
schieen,shoot
mude,weary
dauert,lasts
magst,like
harry,Harry
brief,letter
gelernt,learned
sucht,seeks
bekannt,known
weitere,Further
unfall,accident
dahin,then
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same thing
herzen,heart
schlagen,hit
wutend,furious
weise,wise
damen,ladies
darin,in this
gottes,God
holt,get
fehlt,is missing
vorsicht,Attention
heie,hot
beweisen,prove
gehabt,had
zumindest,at least
vermisst,missing
hubsch,pretty
kriegt,gets
verbindung,link
tief,deep
richtung,direction
lage,position
sowieso,anyway
kraft,power
normal,normal
lauf,run
ehre,honor
stell,stall
geschenk,gift
bar,bar
tasche,bag
gelesen,had read
gekauft,Bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
lugen,lying
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,standing
nachstes,night
gearbeitet,worked
preis,price
witz,joke
meinte,meant
liste,list
geist,ghost
neben,Next
gesucht,searched
firma,company
sue,sue
rucken,move
schrecklich,dreadful
letzter,last
verliebt,amorous
offnen,to open
redet,talking
boot,boat
seltsam,strange
versteckt,hidden
furchte,terrorist
verschwinde,disappear
erwischt,Caught
verkauft,sold
tante,aunt
erwarten,expect
pferd,horse
wunder,wonder
sauer,angry
vermutlich,allegedly
naher,closer
major,major
jung,young
majestat,majesty
aussehen,look
ans,ans
de,de
and,and
links,Left
groes,big
welches,which
beschutzen,to protect
geboren,born
erreichen,reach
punkt,Point
kindern,children
kirche,church
verraten,reveal
selber,myself
befehl,command
colonel,colonel
fahrt,journey
zieht,pull
geburtstag,date of birth
haut,skin
wette,bet
reich,rich
sekunde,second
fahre,drive
schwore,swear
geredet,talked out
james,James
madame,Madame
eigene,own
zeiten,times
traurig,Sad
anruf,Call
nachrichten,Messages
frieden,peace
karte,map
gute,quality
euren,yours
diesmal,this time
schade,a pity
personlich,personally
kriege,wars
stirbt,dies
bleibe,stay
verandert,changes
sonne,Sun
lieb,dear
namlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,court
nase,nose
ewig,eternal
singen,to sing
bank,Bank
beschaftigt,employed
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,apparently
naja,oh well
henry,henry
gefuhle,float
fu,fu
show,show
uberraschung,surprise
geheimnis,secret
fbi,FBI
kontakt,Contact
gold,gold
drogen,drugs
regierung,government
wein,Wine
kriegst,get
ermordet,murdered
fotos,photos
entfernt,away
geschlafen,slept
manche,some
erledigen,take care of
ran,ran
gegenuber,opposite to
schlaf,sleep
lust,desire
wunderschon,very beautiful
witzig,funny
nick,nick
zerstort,destroyed
ubrigens,by the way
willen,sake
heim,home
richtigen,right
deines,yours
namens,called
zeigt,indicates
geliebt,loved
gehoren,belong
brachte,brought
herrn,Mr
blick,view
besuch,visit
schlechte,bad
bewegen,move
haare,hair
antworten,reply
prasident,president
sagtest,says
hoffnung,hope
stecken,put
lebe,live
rechts,to the right
interessant,Interesting
entscheiden,decide
miteinander,commonality
meint,means
liebst,loving
indem,in which
bleibst,stay
kummere,grief
wohnen,reside
weder,neither
moglichkeit,opportunity
kaputt,broken
bekomme,get
flugzeug,airplane
vergangenheit,past
anderer,another
zweite,second
armee,army
jim,Jim
tee,tea
entweder,either
weiss,White
don,Don
detective,detective
aufhalten,stop
stellt,places
verspreche,promise
uberrascht,surprised
sauber,clean
hau,hood
mark,mark
schlag,punch
sheriff,sheriff
untertitel,subtitle
setzt,puts
frag,question
vaters,father
nervos,nervous
gesellschaft,society
verstecken,hide
schuldig,guilty
hals,neck
schutzen,protection
besuchen,to visit
of,of
passen,fit
uberleben,to survive
erhalten,receive
teilen,share
gebaude,building
schicksal,fate
zeichen,sign
richter,judge
besorgt,concerned
kuche,kitchen
lief,ran
vergnugen,enjoyment
wusste,knew
volk,people
lhr,LHR
herausfinden,find out
konigin,queen
soldaten,soldiers
feiern,to celebrate
situation,situation
lag,lag
gelassen,calmly
allerdings,Indeed
soweit,so far
gefahren,hazards
verstand,understanding
bord,board
schones,beautiful
jimmy,Jimmy
billy,Billy
angefangen,begun
lee,lee
fuhlst,bland
bob,bob
mussten,had to
rat,advice
worauf,whereupon
gebeten,requested
tony,tony
kamera,camera
achtung,Danger
lieutenant,lieutenant
ganzes,whole
schuhe,Shoes
sarah,Sarah
gluckwunsch,congratulation
niemandem,no one
gibst,give
statt,instead of
ubernehmen,take over
gegend,area
wald,forest
al,al
la,la
nimmst,take
danny,Danny
erkennen,recognize
glas,Glass
falsche,wrong
verantwortlich,responsible
jesus,Jesus
stohnt,stunned
herein,in
kleid,dress
zerstoren,destroy
jawohl,Yes sir
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helped
erster,first
wohnt,lives
schritt,step
guck,look
nahe,vicinity
aussieht,looks
beginnen,start
dachten,thought
band,tape
ungefahr,approximately
aufgabe,task
neun,nine
furchtbar,awful
drinnen,inside
zuvor,before
charles,Charles
freue,am happy
amerika,America
ubrig,left over
spur,track
falschen,false
sergeant,sergeant
melden,Report
helfe,help
werfen,throw
bill,bill
haltet,hold
erinnert,remind
hangt,hangs
freude,pleasure
ehemann,husband
erschossen,shot
verzeihen,pardon
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damn
brauch,custom
gewusst,knew
vorne,in front
stopp,stop
ubel,bad
schlampe,slut
schoner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
pro,Per
leisten,Afford
davor,before
richard,Richard
bedeuten,mean
ball,ball
mitnehmen,take along
gespielt,played
to,to
schwierigkeiten,difficulties
halfte,half
kannte,knew
stehe,stand
maria,Maria
planeten,planet
schwanger,pregnant
gruppe,group
anna,Anna
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
handen,hand
versteht,understands
drehen,turn
eis,ice
danken,to thank
erfolg,success
zufrieden,satisfied
schlieen,close
besorgen,obtain
wochenende,weekend
woruber,about what
stimmen,voices
nehmt,take
martin,Martin
m,m
witze,jokes
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,yours
prinzessin,princess
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,resemble
fernsehen,watch TV
wunsche,Wishes
schlielich,brilliant
gefangen,caught
schatzchen,baby
seh,see
schwierig,difficult
angebot,offer
nah,close
jane,Jane
gewartet,waited
kummert,takes care
ring,ring
rennen,run
lied,song
eier,egg
welchen,which
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,cases
drink,drink
insel,island
dauern,last
daher,hence
zufallig,coincidentally
dorf,village
clark,Clark
bewegt,emotional
mitten,in the middle
bullen,cops
feind,enemy
einverstanden,I Agree
neuer,news
bauen,to build
tragt,carries
hangen,hang
freunden,friends
deren,whose
halb,half
verpasst,lost
sprach,speech
leise,quietly
armen,arm
wusstest,chewing test
fanden,found
unternehmen,Companies
traume,dreams
schlaft,is sleeping
kostet,costs
spiele,game
unseres,ours
entlang,along
johnny,Johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,earn
aha,Aha
unterhalten,converse
eingeladen,invited
schaden,damage
genannt,called
beenden,break up
ray,ray
geandert,changed
thomas,Thomas
lacherlich,ridiculous
geschlagen,beaten
park,park
schatzen,estimate
mannern,manner
t,T
beginnt,begins
ehren,to honor
grote,Grote
energie,energy
fleisch,flesh
besonderes,special
besteht,consists
reichen,pass
robert,Robert
zeitung,newspaper
worum,what
nachgedacht,thoughtful
betrunken,drunk
sowas,like this
patienten,patient
gesprach,conversation
leiden,Suffer
taxi,taxi
totet,deadly
see,lake
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,Daniel
sahen,saw
wand,wall
bus,bus
lhre,lhre
angriff,attack
verhalten,behave
loch,hole
interesse,interest
treten,to step
quatsch,rubbish
trifft,meets
polizist,police officer
blumen,flower
neuigkeiten,news
bringst,brings
flasche,bottle
rief,called
schuss,shot
fassen,grasp
meer,sea
konntest,can
schafft,creates
maschine,machine
spreche,speak
bein,leg
eddie,Eddie
bekommst,get
verbringen,spend
bucher,Books
blod,silly
fruhstuck,breakfast
tommy,Tommy
meter,meter
bilder,pictures
aufpassen,watch after
claire,claire
dessen,whose
mu,mu
freuen,be happy
engel,Angel
offenbar,apparently
gelegenheit,opportunity
fang,catch
luge,lie
ohren,ears
au,au
angetan,impressed
beeil,hurry
brechen,break
bruder,brothers
zeitpunkt,time
keinem,none
ecke,corner
brucke,bridge
druck,pressure
mitgebracht,brought with them
seufzt,sigh
date,date
haufen,heap
oma,granny
auftrag,assignment
leer,empty
entkommen,escape
bobby,Bobby
weien,know
losung,solution
wart,wart
pause,Break
irre,crazy
gestellt,placed
keller,"basement, cellar"
gebrochen,Broken
weinen,cry
nutzen,to use
wunschen,to wish
fragt,asks
maul,mouth
verantwortung,responsibility
schloss,Castle
hut,cap
lacheln,smile
ryan,ryan
red,red
grad,Degree
zweiten,second
hinaus,out of
mitkommen,come along
vorhin,earlier
fahrt,journey
gemeint,meant
ernsthaft,serious
gebaut,built -up
bombe,bomb
hasst,hate
versteh,understand
kosten,costs
zeige,show
traf,met
eigenes,own
haar,hair
fragte,asked
jason,Jason
operation,surgery
befehle,commands
schmerzen,pains
erklart,explained
steve,Steve
dach,"top, roof"
folge,episode
gelaufen,ran
schwarze,black
dankbar,thankful
gehirn,brain
tote,dead
madels,Madels
mut,courage
heilige,holy
laura,Laura
tier,animal
system,system
mannes,man
wahnsinn,craziness
nee,no
rose,rose
club,club
geschlossen,closed
hintern,butt
is,is
thema,theme
fiel,fell
gehalten,held
dorthin,there
urlaub,holiday
steig,climb
vorwarts,forward
uberprufen,check over
besseres,better
beweis,proof
baum,tree
gebt,giving
funktionieren,function
anscheinend,apparently
lehrer,teacher
hoffen,to hope
bessere,better
isst,eats
nachmittag,afternoon
nem,nem
risiko,risk
chuck,chuck
knast,jail
entschuldigt,sorry
gilt,is applicable
held,hero
daraus,from this
erstes,first
rachel,revenge
prima,great
brauchte,needed
gewalt,violence
dean,dean
liebes,Dear
schaffst,manage
nachdenken,think
tor,gate
erfahrung,experience
plane,plans
jagen,to hunt
katze,cat
runde,round
deutsche,German
schwanz,tail
taten,deeds
lord,lord
dringend,urgently
commander,commander
grovater,grovater
sommer,summer
gezeigt,shown
hinterlassen,leave behind
gewissen,conscience
getrunken,drunk
wahre,real
luke,hatch
kunden,customers
kate,Kate
zeugen,witness
geplant,planned
amanda,amanda
erreicht,reached
storen,disturb
stein,stone
atmen,to breathe
hose,trousers
weie,wise
sprichst,speak
groer,big
schickt,send
city,City
prinz,prince
behandelt,treated
tote,dead
uberlegen,think
karten,cards
it,IT
d,D
restaurant,restaurant
welchem,which
roger,Roger
natur,nature
carter,carter
emily,Emily
mami,mommy
verschwindet,disappears
lautet,is the case
streit,argument
kussen,kiss
sprich,speaking
langst,a long time ago
fangt,catches
druber,druber
gingen,went
erlaubt,permitted
einzigen,single
bad,bath
schmeckt,tastes
kugel,Bullet
normalerweise,usually
schwarzen,black
rauf,up
flug,flight
beruhigen,calm
walter,Walter
halbe,half
dan,Dan
geschieht,happens
einiges,some
entdeckt,discovered
morgens,In the morning
schlechter,worse
vollkommen,completely
gelogen,lied
verfolgt,tracked
college,college
weiteren,further
chris,chris
louis,louis
eh,eh
schwert,sword
hunde,dogs
steigen,climb
verdammter,damn
durfte,could
riecht,smells
labor,laboratory
bat,bat
tim,Tim
arthur,arthur
mindestens,at least
fisch,fish
eurem,of your
fue,fue
stehst,stand
erschieen,appear
kuchen,cake
versuchte,tried
zustand,Status
wunsch,wish
gaste,Guests
erwahnt,mentioned
farbe,color
van,van
einigen,agree
zufall,coincidence
garten,garden
junger,younger
autos,cars
abgesehen,beyond
fair,fair
vertraut,trusted
koffer,suitcase
hie,hi
kurs,course
wirkt,acts
idioten,idiot
netter,nicer
seitdem,since
angegriffen,attacked
geschichten,stories
wahnsinnig,insane
ahnlich,similar
lily,lily
aufgeben,give up
england,England
entfuhrt,Developed
ms.,MS.
mistkerl,maneuver
solchen,such
ner,ner
geschossen,shot
lager,warehouse
besprechen,discuss
reihe,line
polizisten,police officers
vogel,bird
legt,places
strand,Beach
amerikaner,American
schwarz,black
fern,remote
fick,fuck
scherz,joke
san,San
erzahlte,told
wichser,wanker
jake,jake
langweilig,boring
womit,by which
geschafte,businesses
my,my
kapiert,Got it
nachher,later
verlangt,requested
schlagt,beat
uberzeugt,convinced
irgendjemand,Someone
rot,red
soldat,soldier
vorbereitet,prepared
geschah,happened
reisen,to travel
termin,meeting
gang,gear
stehlen,steal
rechte,right
rache,revenge
bemerkt,noticed
frankreich,France
stort,disturbs
radio,radio
beruhige,calm down
pferde,horses
vertrag,contract
arbeitest,worker
dienst,service
zahlt,pays
fragst,asking
wesen,beings
burgermeister,mayor
emma,Emma
fluss,River
woran,what
geblieben,remained
durcheinander,confused
me,me
ted,ted
nette,nice
test,test
mister,mister
dadurch,thereby
direktor,director
wichtiger,more important
kevin,Kevin
scott,scott
karriere,Career
akte,file
erinnerung,memory
gromutter,gromutter
erzahle,tell
losen,solve
bravo,Bravo
griff,Handle
verfolgen,pursue
zweifel,doubt
such,search
sprache,language
nerven,annoy
officer,officer
andy,Andy
langer,longer
ziehe,pull
entlassen,fire
zweimal,twice
abholen,collect
washington,Washington
kollegen,colleagues
doc,Doc
fass,barrel
szene,scene
robin,Robin
scheinen,seem to be
bosen,bosses
schaffe,creation
pflicht,duty
wache,guard
neulich,recently
beeilen,hurry
